,Product Name,Type,Specific Type,Payment Method,Vendor,Ships From,Ships To,Order Quantity,Price,IDENTIFIER
product 0,4MMC VERY POTENT MEPHEDRONE MIAUW II PRE-BAN QUALITY,Stimulants,4-MMC Mephedrone,Escrow,0ldAmsterdam,Germany,Worldwide,2g,10,0ldAmsterdam
product 1,BOLIVIAN COCAINE STRAIGHT FROM THE BRICK II HIGH QUALITY,Stimulants,Coke,Escrow,0ldAmsterdam,Germany,Worldwide,1g,50,0ldAmsterdam
product 2,LSD ALBERT HOFMANN 250UG II HIGH DOSED BLOTTERS,Pyschedelic,LSD,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 3,XTC BLUE EA-SPORTS 300MG II HARD PRESSED PILLS,Ecstasy,Pills,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 4,PURE SPEED PASTE AMPHETHAMINE II VERY POTENT II PURE A-OIL,Stimulants,Speed,Escrow,0ldAmsterdam,Germany,Worldwide,2g,10,0ldAmsterdam
product 5,KETAMINE S-ISOMER NEEDLE TYPE II PURE UNCUT S-KET,Disassociatives,Ketamine,Escrow,0ldAmsterdam,Germany,Worldwide,1g,5,0ldAmsterdam
product 6,LSD ANONYMOUS 250UG II HIGH DOSED BLOTTERS,Pyschedelic,LSD,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 7,2CB SUPER MARIO 30MG 2CB II HARD PRESSED PILLS,Pyschedelic,2C-x,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 0,Orange Sherbert di Barney's farm,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,2g,30,1Elle
product 1,Gorilla Glue 2,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,5g,60,1Elle
product 2,Sim Anonime SCONTO DEL 50%,Cannabis,Hash,Escrow,1Elle,Italy,Europe,1,10,1Elle
product 3,AMNESIA  -50% OFFERTA,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,10g,100,1Elle
product 4,PINEAPPLE PUNCH,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,2g,40,1Elle
product 5,Ice o Lator di AK47,Cannabis,Concentrates,Escrow,1Elle,Italy,Europe,1g,35,1Elle
product 6,Gummies THC DELTA,Cannabis,Edibles,Escrow,1Elle,Italy,Europe,1,15,1Elle
product 7,HUMMINGBIRD BRAND DRIVE HASH,Cannabis,Hash,Escrow,1Elle,Italy,Europe,2g,35,1Elle
product 0,Cookies Gelato,Cannabis,Buds & Flowers,Escrow,420bob,Finland,Finland,3g,45,420bob
product 1,Trimmings / Sugar leaves,Cannabis,Shake & Cuttings,Escrow,420bob,Finland,Finland,10g,50,420bob
product 2,Kief,Cannabis,Hash,Escrow,420bob,Finland,Finland,3g,60,420bob
product 3,Bubblegum,Cannabis,Buds & Flowers,Escrow,420bob,Finland,Finland,3g,45,420bob
product 0,B974 30 mg ADDERALL FOR SALE!!!!,Stimulants,Smartdrugs,Escrow,Abraxis,United States of America,United States of America,100,92,Abraxis
product 1,30 MG DP INSTANT RELEASE ADDERALL FOR SALE!!!!,Stimulants,Smartdrugs,Escrow,Abraxis,United States of America,United States of America,100,92,Abraxis
product 0,*BEST QUALITY* Adderall AD30 Trust Us! Best on the market!,Stimulants,Smartdrugs,Escrow,addyrus,United States of America,United States of America,100,147,addyrus
product 1,*BEST QUALITY* Adderall DP30 Trust Us! Best on the market!,Stimulants,Smartdrugs,Escrow,addyrus,United States of America,United States of America,100,147,addyrus
product 2,Adderall B974 30mg IR (Instant Release) - Pharma Grade -SALE,Stimulants,Smartdrugs,Escrow,addyrus,United States of America,United States of America,100,147,addyrus
product 0,Aduvanz 70mg (lisdexamphetamine),Stimulants,Pills,Escrow,ADHDfaen,Norway,Norway,10,157,ADHDfaen
product 0,10-300pc ⚽ II BLUE PUNISHER XTC 265MG II DE-EU SHIPPING,Ecstasy,Pills,Escrow,AJAXAMSTERDAM,Germany,Europe,10,1,AJAXAMSTERDAM
product 1,1-50GR ⚽ II DRY SPEED SULPHATE II DE-EU SHIPPING,Stimulants,Speed,Escrow,AJAXAMSTERDAM,Germany,Europe,1g,1,AJAXAMSTERDAM
product 2,1-50GR ⚽ II PURE UNCUT AFGHAN HEROIN II DE-EU SHIPPING,Opiates,Heroin,Escrow,AJAXAMSTERDAM,Germany,Europe,1g,15,AJAXAMSTERDAM
